query,score,value,eps,min_samples,bias
atomic heart,ndcg,0.8147469343767056,0.5,8,us
atomic heart,map,0.5777777777777777,0.5,8,ru
atomic heart,ndcg,0.8375145286726157,0.5,8,ru
atomic heart,map,0.4981481481481481,0.9,2,False
atomic heart,ndcg,0.8905904033242845,0.9,2,False
atomic heart,map,0.6888888888888888,0.9,2,us
atomic heart,ndcg,0.8061939392964769,0.9,2,us
atomic heart,map,0.5499999999999999,0.9,2,ru
atomic heart,ndcg,0.8764359881983829,0.9,2,ru
atomic heart,map,0.5499999999999999,0.9,5,False
atomic heart,ndcg,0.8683590555834543,0.9,5,False
atomic heart,map,0.6611111111111111,0.9,5,us
atomic heart,ndcg,0.8147469343767056,0.9,5,us
atomic heart,map,0.5777777777777777,0.9,5,ru
atomic heart,ndcg,0.8375145286726157,0.9,5,ru
atomic heart,map,0.5499999999999999,0.9,8,False
atomic heart,ndcg,0.8683590555834543,0.9,8,False
atomic heart,map,0.6611111111111111,0.9,8,us
atomic heart,ndcg,0.8147469343767056,0.9,8,us
atomic heart,map,0.5777777777777777,0.9,8,ru
atomic heart,ndcg,0.8375145286726157,0.9,8,ru
translation,map,0.26461038961038963,0.1,2,False
translation,ndcg,0.7196698304465416,0.1,2,False
translation,map,0.26461038961038963,0.1,2,us
translation,ndcg,0.7196698304465416,0.1,2,us
translation,map,0.26666666666666666,0.1,2,ru
translation,ndcg,0.6280620271054537,0.1,2,ru
translation,map,0.26666666666666666,0.1,5,False
translation,ndcg,0.6280620271054537,0.1,5,False
translation,map,0.26666666666666666,0.1,5,us
translation,ndcg,0.6280620271054537,0.1,5,us
translation,map,0.26666666666666666,0.1,5,ru
translation,ndcg,0.6280620271054537,0.1,5,ru
translation,map,0.26666666666666666,0.1,8,False
translation,ndcg,0.6280620271054537,0.1,8,False
translation,map,0.26666666666666666,0.1,8,us
translation,ndcg,0.6280620271054537,0.1,8,us
translation,map,0.26666666666666666,0.1,8,ru
translation,ndcg,0.6280620271054537,0.1,8,ru
translation,map,0.2947802197802198,0.5,2,False
translation,ndcg,0.6736696934600163,0.5,2,False
translation,map,0.2947802197802198,0.5,2,us
translation,ndcg,0.6736696934600163,0.5,2,us
translation,map,0.26666666666666666,0.5,2,ru
translation,ndcg,0.6280620271054537,0.5,2,ru
translation,map,0.3019230769230769,0.5,5,False
translation,ndcg,0.6280620271054537,0.5,5,False
translation,map,0.3019230769230769,0.5,5,us
translation,ndcg,0.6280620271054537,0.5,5,us
translation,map,0.26666666666666666,0.5,5,ru
translation,ndcg,0.6280620271054537,0.5,5,ru
